name,address,postcode,area_name,area_code,long,lat
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 10B Oxford Road, Manchester",M1 5QA,Manchester,E08000003,-2.23997,53.472893
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 11-13 Barlow Moor Road, Manchester",M20 6TN,Manchester,E08000003,-2.232648,53.417772
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 1160 Rochdale Road, Manchester",M9 6ER,Manchester,E08000003,-2.20823,53.531889
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 123-125 Deansgate, Manchester",M3 2BY,Manchester,E08000003,-2.247951,53.480335
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 145 Greenbrow Road, Manchester",M23 2DB,Manchester,E08000003,-2.28608,53.38464
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 15 Cross Street, Manchester",M2 1WE,Manchester,E08000003,-2.243669,53.482564000000004
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 16 Spring Gardens, Manchester",M2 1EE,Manchester,E08000003,-2.24091,53.482282
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 181 Hollyhedge Road, Manchester",M22 8UE,Manchester,E08000003,-2.258938,53.388918
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 2 Piccadilly South, Gateway House, Manchester",M1 2GH,Manchester,E08000003,-2.231714,53.478392
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 26 Old Moat Lane, Manchester",M20 3FL,Manchester,E08000003,-2.232365,53.434859
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 285 Victoria Avenue, Manchester",M9 0NG,Manchester,E08000003,-2.227666,53.53278
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 304-306 Oxford Road, Manchester",M13 9NS,Manchester,E08000003,-2.230424,53.462826
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 306 Portway, Manchester",M22 1TE,Manchester,E08000003,-2.268648,53.374056
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 354 Great Western Street, Manchester",M14 4BY,Manchester,E08000003,-2.2311550000000002,53.45603
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 38 Piccadilly Plaza, Manchester",M1 4AJ,Manchester,E08000003,-2.237914,53.480193
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 43 Deangate, Manchester",M3 2AY,Manchester,E08000003,-2.24622,53.48292
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 44 Bury Old Road, Manchester",M8 5BN,Manchester,E08000003,-2.245643,53.513401
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 46 Portland Street, Manchester",M1 4QU,Manchester,E08000003,-2.239142,53.478341
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 482 Wilbraham Road, Manchester",M21 9AS,Manchester,E08000003,-2.278958,53.44275
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 640-642 Oldham Road, Manchester",M40 8BA,Manchester,E08000003,-2.210734,53.495482
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 66-68 Bridge Street, Manchester",M3 2RJ,Manchester,E08000003,-2.248589,53.480785
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 71 Cheetham Hill Road, Manchester",M4 4ES,Manchester,E08000003,-2.240893,53.492153
Ladbrokes Betting & Gaming Limited,"Ladbrokes, Unit 1, Cheetham Hill Shopping Centre, Cheetham Hill, Manchester",M8 5EL,Manchester,E08000003,-2.244838,53.512897
Ladbrokes Betting & Gaming Limited,"Ladbrokes, Unit 32 Manchester Fort Shopping Park, Cheetham Hill Road, Manchester",M8 8EP,Manchester,E08000003,-2.235028,53.497216
David Pluck (North West) Limited,"11 -13 Lansdowne Road, Crumpsall, Manchester",M8 5SF,Manchester,E08000003,-2.236741,53.515324
David Pluck (North West) Limited,"David Pluck Bookmakers, 481 Cheetham Hill Road, Manchester",M8 9LR,Manchester,E08000003,-2.241585,53.507917
David Pluck (North West) Limited,"David Pluck Racing, Unit 2, 683-693 Wilmslow Road, Manchester",M20 6RE,Manchester,E08000003,-2.231335,53.417046
David Pluck (North West) Limited,"David Pluck Racing, Units 4 & 5 Longsight Shopping, Stockport Road, Manchester",M12 4NE,Manchester,E08000003,-2.200953,53.457817
Jennings Racing Limited,"JenningsBet, 51 Piccadilly, Manchester",M1 2AP,Manchester,E08000003,-2.234921,53.481125
Gala Leisure Limited,"Gala Clubs, Kirkmanshulme Lane, Manchester",M18 7BA,Manchester,E08000003,-2.184679,53.462394
Gala Leisure Limited,"Gala Clubs, North City Shopping Centre, Rochdale Road, Manchester",M9 4DH,Manchester,E08000003,-2.211905,53.51263
Gala Leisure Limited,"Gala Clubs, Rowlandsway, Civic Centre, Wythenshawe, Manchester",M22 5RG,Manchester,E08000003,-2.260594,53.379315
Coral Racing Limited,"Coral Racing Ltd, 14 Broadway, Manchester",M40 3LN,Manchester,E08000003,-2.16724,53.520503
